timestamp,open,high,low,close,volume
2026-06-07 21:00:00+00:00,1.15093,1.15335,1.15081,1.15334,8357900000
2026-06-08 01:00:00+00:00,1.15332,1.15347,1.15117,1.15312,14263950000
2026-06-08 05:00:00+00:00,1.15314,1.15397,1.15078,1.15083,23750180000
2026-06-08 09:00:00+00:00,1.15081,1.15438,1.14999,1.15421,27214720000
2026-06-08 13:00:00+00:00,1.15423,1.15545,1.15316,1.15389,28014940000
2026-06-08 17:00:00+00:00,1.1539,1.15421,1.15276,1.15336,12051700000
2026-06-08 21:00:00+00:00,1.15336,1.1538,1.15269,1.15311,5827040000
2026-06-09 01:00:00+00:00,1.15312,1.15481,1.15303,1.15454,9481130000
2026-06-09 05:00:00+00:00,1.15453,1.15533,1.15364,1.15505,18301690000
2026-06-09 09:00:00+00:00,1.15508,1.15749,1.15502,1.15736,12615470000
2026-06-09 13:00:00+00:00,1.15737,1.1578,1.15285,1.15407,41222420000
2026-06-09 17:00:00+00:00,1.1541,1.15531,1.15395,1.15423,19236650000
2026-06-09 21:00:00+00:00,1.15422,1.15434,1.1533,1.15423,8188400000
2026-06-10 01:00:00+00:00,1.15424,1.15521,1.15352,1.15464,13488280000
2026-06-10 05:00:00+00:00,1.15465,1.15585,1.15451,1.15534,18942400000
2026-06-10 09:00:00+00:00,1.15537,1.15646,1.15354,1.15484,27227550000
2026-06-10 13:00:00+00:00,1.15483,1.15731,1.15343,1.15537,40436840000
2026-06-10 17:00:00+00:00,1.15538,1.15576,1.15345,1.1535,17614380000
2026-06-10 21:00:00+00:00,1.15349,1.1543,1.15255,1.15423,12368460000
2026-06-11 01:00:00+00:00,1.15425,1.1556,1.15416,1.15482,13536420000
2026-06-11 05:00:00+00:00,1.15484,1.15555,1.15305,1.1532,16226050000
2026-06-11 09:00:00+00:00,1.15322,1.15434,1.15163,1.15398,23993970000
2026-06-11 13:00:00+00:00,1.15398,1.15404,1.15071,1.15089,33827070000
2026-06-11 17:00:00+00:00,1.15088,1.15896,1.15028,1.15775,47067600000
2026-06-11 21:00:00+00:00,1.15775,1.15864,1.1566,1.15696,9486480000
2026-06-12 01:00:00+00:00,1.15695,1.15751,1.15614,1.15713,17457380000
2026-06-12 05:00:00+00:00,1.15715,1.15855,1.15569,1.15766,25304890000
2026-06-12 09:00:00+00:00,1.15768,1.15894,1.15599,1.15632,21431630000
2026-06-12 13:00:00+00:00,1.15634,1.15835,1.15616,1.15744,35526390000
2026-06-12 17:00:00+00:00,1.15745,1.15785,1.15641,1.15641,14092650000
2026-06-14 21:00:00+00:00,1.15731,1.16174,1.1573,1.15986,13626650000
2026-06-15 01:00:00+00:00,1.15987,1.16134,1.15941,1.16124,8068820000
2026-06-15 05:00:00+00:00,1.16126,1.16221,1.1597,1.16015,17632050000
2026-06-15 09:00:00+00:00,1.16014,1.16196,1.16005,1.16153,16869480000
2026-06-15 13:00:00+00:00,1.16154,1.16204,1.15965,1.16033,24190740000
2026-06-15 17:00:00+00:00,1.16035,1.16039,1.15835,1.15897,10196060000
2026-06-15 21:00:00+00:00,1.15896,1.15939,1.15853,1.15929,6685320000
2026-06-16 01:00:00+00:00,1.15928,1.1595,1.15756,1.15788,9207350000
2026-06-16 05:00:00+00:00,1.15788,1.16064,1.15748,1.16056,14674530000
2026-06-16 09:00:00+00:00,1.16055,1.16129,1.15912,1.15996,16688440000
2026-06-16 13:00:00+00:00,1.15993,1.16196,1.15878,1.16131,25723560000
2026-06-16 17:00:00+00:00,1.16129,1.16139,1.16059,1.16078,9115940000
2026-06-16 21:00:00+00:00,1.16075,1.16166,1.16061,1.16145,7030930000
2026-06-17 01:00:00+00:00,1.16144,1.16159,1.16081,1.16123,4386760000
2026-06-17 05:00:00+00:00,1.16121,1.16149,1.15979,1.16018,12503020000
2026-06-17 09:00:00+00:00,1.16018,1.16058,1.15853,1.1602,11985020000
2026-06-17 13:00:00+00:00,1.16021,1.16027,1.15809,1.15916,20428460000
2026-06-17 17:00:00+00:00,1.15915,1.15961,1.14778,1.15008,60813010000
2026-06-17 21:00:00+00:00,1.14999,1.15206,1.14995,1.15153,11443970000
2026-06-18 01:00:00+00:00,1.15153,1.15262,1.15129,1.1523,9365420000
2026-06-18 05:00:00+00:00,1.15231,1.15282,1.1482,1.14826,24395700000
2026-06-18 09:00:00+00:00,1.14828,1.14858,1.14532,1.14693,34252590000
2026-06-18 13:00:00+00:00,1.14693,1.14875,1.14615,1.14651,37568470000
2026-06-18 17:00:00+00:00,1.14653,1.14735,1.14512,1.14574,17207660000
2026-06-18 21:00:00+00:00,1.14574,1.14678,1.14552,1.14618,6443410000
2026-06-19 01:00:00+00:00,1.14619,1.14633,1.14272,1.14286,10139910000
2026-06-19 05:00:00+00:00,1.14286,1.14658,1.14178,1.14642,21436340000
2026-06-19 09:00:00+00:00,1.14641,1.14748,1.14523,1.14709,15690300000
2026-06-19 13:00:00+00:00,1.14709,1.14761,1.14566,1.14687,16816480000
2026-06-19 17:00:00+00:00,1.14688,1.14806,1.14656,1.14683,6551010000
2026-06-21 21:00:00+00:00,1.14603,1.14668,1.14543,1.14664,7324900000
2026-06-22 01:00:00+00:00,1.14665,1.14735,1.14526,1.14559,11569040000
